br_id,name,state,region,owner,operator,location,longitude,latitude,project,dam_type,reservoir,national_id,watercourse,original_construction,spillway_type,crest_elevation,url
dam_4,Angostura Dam,South Dakota,Great Plains,Dakotas Area Office,Angostura Irrigation District,NA,-103.4378,43.3431,PSMBP - Angostura,NA,Angostura,SD01099,Cheyenne River,1946-1949,NA,3199,https://www.usbr.gov/projects/index.php?id=4
dam_3,Angostura Diversion Dam,New Mexico,Upper Colorado,Middle Rio Grande Conservancy District,Middle Rio Grande Conservancy District,"5 miles northeast of Bernalillo, NM",NA,NA,Middle Rio Grande,concrete wall weir structure,NA,NA,NA,1934 and rehabilitated in 1958,NA,5083,https://www.usbr.gov/projects/index.php?id=3
dam_5,Anita Dam,Montana,Great Plains,Montana Area Office,Huntley Project Irrigation District,"Offstream, 6 miles southeast of Ballantine, Montana",-108.0007553100586,45.933431151319745,Huntley,Modified homogeneous earthfill,Anita,MT00567,Yellowstone River (offstream),1933-1937,Uncontrolled concrete-lined chute at north abutment,3,https://www.usbr.gov/projects/index.php?id=5
dam_269,Arbuckle Dam,Oklahoma,Great Plains,Oklahoma-Texas Area Office,Arbuckle Master Conservancy District,NA,-97.027778,34.431389,Arbuckle,NA,Lake of the Arbuckles,OK02501,Rock creek,1964-1966,Yes,920,https://www.usbr.gov/projects/index.php?id=269
dam_6,Arrowrock Dam,Idaho,Pacific Northwest,Snake River Area Office,NA,"13 mi E of Boise, ID",-115.923,43.5952,Boise,Concrete Thick Arch,Arrowrock,ID00280,Boise River,1911-1915,"Side-channel spillway chute located on the right abutment, controlled by six 62-feet-long by 6-feet-high drum gates",3216,https://www.usbr.gov/projects/index.php?id=6
dam_45,Arthur R Bowman Dam,Oregon,Pacific Northwest,Columbia-Cascades Area Office,Ochoco Irrigation District,NA,-120.78738,44.11125,Crooked River,Zoned Earthfill,Prineville,OR00579,Crooked River,1958-1961,Ungated overflow,3270,https://www.usbr.gov/projects/index.php?id=45
dam_48,Arthur V Watkins Dam,Utah,Upper Colorado,Provo Area Office,Weber Basin Water Conservancy District,NA,-112.0909309387207,41.405527084061745,Weber Basin,NA,Willard Bay,UT10112,offstream Storage,1957-1964,NA,4235,https://www.usbr.gov/projects/index.php?id=48
dam_49,Avalon Dam,New Mexico,Upper Colorado,Albuquerque Area Office,Carlsbad Irrigation District,NA,-104.2553,32.4908,Carlsbad,NA,Avalon,NM00132,Pecos River,1907 - height increased in 1912 and again in 1936,NA,3194,https://www.usbr.gov/projects/index.php?id=49
dam_57,B F Sisk Dam,California,Mid-Pacific,South-Central California Area Office,California Department of Water Resources,NA,-121.075,37.0583,Central Valley,NA,San Luis,CA10183,San Luis Creek,1963-1967,NA,554,https://www.usbr.gov/projects/index.php?id=57
dam_271,Barretts Diversion Dam,Montana,Great Plains,Montana Area Office,NA,On Beaverhead River about 11 miles downstream from Clark Canyon Dam.,-112.7403,45.1302,"East Bench Unit, Pick-Sloan Missouri Basin Program",Concrete gate structure with embankment wings,NA,MT82919,Beaverhead River,1963,One 24- by 10- ft radial gate.,5,https://www.usbr.gov/projects/index.php?id=271
dam_51,Bartlett Dam,Arizona,Lower Colorado,NA,NA,"48 miles northeast of Phoenix, Arizona",-111.631856,33.81825,Salt River,Multiple Arch/Buttress,Bartlett Lake,AZ10308,Verde River,1936-1939,Service,1821,https://www.usbr.gov/projects/index.php?id=51
dam_54,Bartley Diversion Dam,Nebraska,Great Plains,Nebraska-Kansas Area Office,NA,NA,-100.38695,40.22509,PSMBP - Frenchman,NA,NA,NA,Republican River,1954,NA,NA,https://www.usbr.gov/projects/index.php?id=54
dam_71,Belle Fourche Dam,South Dakota,Great Plains,NA,NA,NA,-103.67,44.7367,Belle Fourche,NA,NA,NA,Belle Fourch River,NA,NA,NA,https://www.usbr.gov/projects/index.php?id=71
dam_56,Belle Fourche Diversion Dam,South Dakota,Great Plains,NA,NA,NA,-103.83068,44.69057,Belle Fourche,NA,NA,SD01142,Belle Fourch River,1907,NA,2998,https://www.usbr.gov/projects/index.php?id=56
dam_272,Big Sandy Dam,Wyoming,Upper Colorado,Provo Area Office,Eden Valley Irrigation and Drainage District,NA,-109.42863464355469,42.249232907097614,Eden,NA,Big Sandy,WY01387,Big Sandy Creek,1941-1952,NA,6769,https://www.usbr.gov/projects/index.php?id=272
dam_7,Black Canyon Diversion Dam,Idaho,Pacific Northwest,Snake River Area Office,NA,"5 mi NE of Emmett, ID",-116.43756,43.9314,Boise,Concrete gravity,Black Canyon,ID00282,Payette River,1922-1924,Ogee crest controlled by three 64-foot-long steel drum gates,2500,https://www.usbr.gov/projects/index.php?id=7
dam_62,Blue Mesa Dam,Colorado,Upper Colorado,Power Office,NA,NA,-107.3333,38.4533,Colorado River Storage,NA,Blue Mesa,CO01675,Gunnison,1962-1966,NA,7528,https://www.usbr.gov/projects/index.php?id=62
dam_64,Boca Dam,California,Mid-Pacific,Lahontan Basin Area Office,Washoe County Water Conservation District,NA,NA,NA,Truckee Storage,NA,Boca,CA10135,Little Truckee River,1937-1939,NA,5615,https://www.usbr.gov/projects/index.php?id=64
dam_8,Boise River Diversion Dam,Idaho,Pacific Northwest,Snake River Area Office,Boise Project Board of Control,"7 miles SE of Boise, ID",-116.0933,43.5383,Boise,Concrete and masonry weir,Boise Diversion Pool,ID00281,Boise River,1906-1908,Overflow with flashboards,2829.84,https://www.usbr.gov/projects/index.php?id=8
dam_66,Bonny Dam,Colorado,Great Plains,Nebraska-Kansas Area Office,NA,NA,-102.1733,39.6233,PSMBP - Armel Unit,NA,Bonny,CO01300,SF Republican R.,1948-1951,NA,3742,https://www.usbr.gov/projects/index.php?id=66
dam_67,Box Butte Dam,Nebraska,Great Plains,Nebraska-Kansas Area Office,Mirage Flats Irrigation District,NA,-103.0847,42.4583,Mirage Flats,NA,NA,NE01069,Niobrara River,1941-1946,NA,4024,https://www.usbr.gov/projects/index.php?id=67
dam_26,Boysen Dam,Wyoming,Great Plains,Wyoming Area Office,NA,"On the Wind River approximately 17 miles south of Thermopolis, Wyoming.",-108.104,43.2456,"Boysen Unit, Pick-Sloan Missouri River Basin Program",NA,Boysen,WY01299,Wind River,1947-1952,"Concrete lined chute in right abutment, controlled by two 30- by 25-ft radial gates.",4,https://www.usbr.gov/projects/index.php?id=26
dam_254,Bradbury Dam,California,Mid-Pacific,South-Central California Area Office,NA,25 mi NW of Santa Barbara,-119.9833,34.5833,Cachuma,NA,Lake Cachuma,CA10136,Santa Ynex River,1950-1953,NA,766,https://www.usbr.gov/projects/index.php?id=254
dam_28,Brantley Dam,New Mexico,Upper Colorado,Albuquerque Area Office,Carlsbad Irrigation District,NA,-104.34951782226562,32.59686621467839,Brantley,NA,Brantley,NM82901,Pecos River,1984 - 1989,NA,3308.5,https://www.usbr.gov/projects/index.php?id=28
dam_273,Bretch Diversion Dam,Oklahoma,Great Plains,NA,NA,NA,-99.1097,34.93663,Mountain Park,NA,NA,NA,Elk Creek,1975-1977,NA,NA,https://www.usbr.gov/projects/index.php?id=273
dam_274,Broadhead Diversion Dam,Utah,Upper Colorado,NA,NA,NA,NA,NA,Provo River,NA,NA,NA,Boadhead Creek,1953,NA,8198,https://www.usbr.gov/projects/index.php?id=274
dam_31,Buckhorn Dam,California,Mid-Pacific,Northern California Area Office,NA,NA,39.7089589,NA,Central Valley,NA,Buckhorn,CA82938,Grass Valley Creek,1988-1991,NA,2815,https://www.usbr.gov/projects/index.php?id=31
dam_33,Buffalo Bill Dam,Wyoming,Great Plains,Wyoming Area Office,NA,"Six miles upstream from Cody, Wyoming.",-109.11,44.3002,Shoshone,NA,Buffalo Bill,WY01300,Shoshone River,1905-1910,Controlled concrete lined tunnel through left abutment.,5,https://www.usbr.gov/projects/index.php?id=33
dam_36,Bull Lake Dam,Wyoming,Great Plains,Big Horn Basin Field Office,Midvale Irrigation District,NA,-109.0583,43.2097,PSMBP - Riverton Unit,NA,Bull Lake,WY01378,Bull Lake Creek,1936-1938,NA,5813,https://www.usbr.gov/projects/index.php?id=36
dam_37,Bully Creek Dam,Oregon,Pacific Northwest,Snake River Area Office,Vale Oregon Irrigation District,NA,-117.396898,44.0147313,Vale,Zoned Earthfill,Bully Creek,OR00578,Bully Creek,1962-1963,"Overflow crest, plus ten 4' x 4' sluice gates",2529,https://www.usbr.gov/projects/index.php?id=37
dam_40,Bumping Lake Dam,Washington,Pacific Northwest,Columbia-Cascades Area Office,NA,NA,-121.29936,46.8712,Yakima,Zoned Earthfill,Bumping Lake,WA00263,Bumping River,1909-1910,"Ungated overflow, wood chute",3435,https://www.usbr.gov/projects/index.php?id=40
dam_1,C.C. Cragin,Arizona,Lower Colorado,NA,NA,"25 miles NE of Payson, AZ and 125 miles NE of Phoenix, Arizona",-111.1840252,34.5550265,Salt River,Concrete Thin Arch,C.C. Cragin,AZ00021,East Clear Creek,1964,"93-ft long ogee, connecting to a 155 ft long curved (toward the river) super-elevated chute",6720,https://www.usbr.gov/projects/index.php?id=1
dam_42,Caballo Dam,New Mexico,Upper Colorado,Albuquerque Area Office,NA,NA,-107.2917,32.8964,Rio Grande,NA,Caballo,NM00131,Rio Grande,1936-1938,NA,4190,https://www.usbr.gov/projects/index.php?id=42
dam_43,Cambridge Diversion Dam,Nebraska,Great Plains,NA,NA,"2 mi east of Cambridge, NE",-100.12054,40.28511,PSMBP - Frenchman,NA,NA,NA,Republican River,1949,NA,NA,https://www.usbr.gov/projects/index.php?id=43
dam_275,Camp Creek Diversion Dam,California,Mid-Pacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usbr.gov/projects/index.php?id=275
dam_46,Camp Dyer Diversion Dam,Arizona,Lower Colorado,Maricopa Water District,NA,"35 miles northwest of Phoenix, Arizona",-112.2705,33.8378,Central Arizona,Concrete and masonry gravity,NA,AZ00113,Agua Fria River,1926,Service,1445,https://www.usbr.gov/projects/index.php?id=46
dam_50,Canyon Ferry Dam,Montana,Great Plains,Montana Area Office,NA,On the Missouri River 27 miles downstream from Townsend Montana.,-111.72786712646484,46.64797101519256,"Canyon Ferry Unit, Pick-Sloan Missouri Basin Program",Concrete Gravity,Canyon Ferry Lake,MT00568,Missouri River,1949-1954,"Overflow section at center of dam, controlled by four 51- by 34.5 ft radial gates.",3,https://www.usbr.gov/projects/index.php?id=50
dam_9,Carpinteria Dam,California,Mid-Pacific,South-Central California Area Office,Carpinteria Valley Water District,NE of Carpinteria,-119.485,34.4067,Cachuma,NA,Carpenteria,CA10138,offstream Storage,1951-1953,NA,385.25,https://www.usbr.gov/projects/index.php?id=9
dam_52,Carson River Diversion Dam,Nevada,Mid-Pacific,NA,NA,NA,NA,NA,Newlands,NA,NA,NV10120,Carson River,1905,NA,4024,https://www.usbr.gov/projects/index.php?id=52
dam_53,Carter Creek Diversion Dam,Colorado,Great Plains,NA,NA,NA,-106.32372,39.21593,Fryingpan-Arkansas,NA,NA,NA,Carter Creek,1976,NA,10133.75,https://www.usbr.gov/projects/index.php?id=53
dam_55,Carter Lake Dam,Colorado,Great Plains,Eastern Colorado Area Office,Northern Colorado Water Conservancy District,NA,-105.2117,40.325,Colorado-Big Thompson,NA,Carter Lake,CO01650,offstream Storage,1950-1952,NA,5769,https://www.usbr.gov/projects/index.php?id=55
dam_10,Cascade Dam,Idaho,Pacific Northwest,Snake River Area Office,NA,Cascade,-116.050279,44.524997,Boise,Zoned Earthfill,Lake Cascade,ID00283,North Fork Payette River,1946-1948,Concrete lined chute at the right abutment controlled by two 21-by-20 foot radial gates,4840,https://www.usbr.gov/projects/index.php?id=10
dam_276,Casitas Dam,California,Mid-Pacific,South-Central California Area Office,Casitas Municipal Water District,NA,-119.3361,34.37,Ventura River,NA,Casitas,CA10139,Coyote Creek,1956-1959,NA,585,https://www.usbr.gov/projects/index.php?id=276
dam_58,Causey Dam,Utah,Upper Colorado,Provo Area Office,Weber Basin Water Conservancy District,NA,-111.5829849243164,41.290189955885644,Weber Basin,NA,SF Ogden River,UT10116,SF Ogden River,1962-1966,NA,5704,https://www.usbr.gov/projects/index.php?id=58
dam_59,Cedar Bluff Dam,Kansas,Great Plains,Nebraska-Kansas Area Office,NA,NA,-99.725,38.7917,PSMBP-Cedar Bluff,NA,NA,KS00019,Smoky Hill River,1949-1951,NA,2198,https://www.usbr.gov/projects/index.php?id=59
dam_60,Chapman Diversion Dam,Colorado,Great Plains,NA,NA,NA,-106.640589,39.3163756,Fryingpan-Arkansas,NA,NA,NA,Chapman Gulch,1965-1971,NA,10045,https://www.usbr.gov/projects/index.php?id=60
dam_63,Cheney Dam,Kansas,Great Plains,Oklahoma-Texas Area Office,NA,NA,-97.793,37.7306,Wichita,NA,Cheney,KS00017,NF of Ninnescah R.,1962-1965,NA,1454,https://www.usbr.gov/projects/index.php?id=63
dam_65,Choke Canyon Dam,Texas,Great Plains,Oklahoma-Texas Area Office,City of Corpus Christi,NA,-98.2458,28.3125,Nueces River,NA,Choke Canyon,TX04415,Frio River,1981-1982,NA,241.14,https://www.usbr.gov/projects/index.php?id=65
dam_68,Clark Canyon Dam,Montana,Great Plains,Montana Area Office,East Bench Irrigation District,"Twenty miles southwest of Dillon, Montana at the head of Beaverhead River in southwestern Montana.",-112.85834312438965,45.000415406254376,"East Bench Unit, Pick-Sloan Missouri Basin Program",Zoned earthfill,Clark Canyon,MT00569,Beaverhead River,1961-1964,Uncontrolled concrete crest and concrete-lined chute at left abutment,5,https://www.usbr.gov/projects/index.php?id=68
dam_306,Cle Elum Dam,Washington,Pacific Northwest,Columbia-Cascades Area Office,NA,NA,-121.073112,47.2469,Yakima,Zoned Earthfill,Cle Elum Lake,WA00274,Cle Elum River,1931-1933,Radial gates,2250,https://www.usbr.gov/projects/index.php?id=306
dam_69,Clear Creek Dam,Washington,Pacific Northwest,Columbia-Cascades Area Office,NA,NA,-121.270915,46.6278934,Yakima,Concrete Gravity,Clear Creek,WA00264,Tieton River,1914-1915,"Rock channel overflow, Overflow spillway",3016,https://www.usbr.gov/projects/index.php?id=69
dam_27,Clear Lake Dam,California,Mid-Pacific,Langell Valley Irrigation District,NA,19 mi SE of Malin OR,-121.075969,41.926115,Klamath,Roller Compacted Concrete Structure,Clear Lake,CA10141,Lost River,1908-1910,NA,4552,https://www.usbr.gov/projects/index.php?id=27
dam_29,Cold Springs Dam,Oregon,Pacific Northwest,Columbia-Cascades Area Office,Hermiston Irrigation District,NA,-119.173679,45.8592328,Umatilla Basin,NA,Cold Springs,OR00590,Off-stream,1908,NA,629.9,https://www.usbr.gov/projects/index.php?id=29
dam_30,Como Dam,Montana,Pacific Northwest,Bitter Root Project Irrigation District,Bitter Root Project Irrigation District,NA,-114.2333,46.0617,Bitter Root,Hydraulic Earthfill,Lake Como,NA,Rock Creek,1908-1910,Ungated,4249,https://www.usbr.gov/projects/index.php?id=30
dam_32,Conconully Dam,Washington,Pacific Northwest,Columbia-Cascades Area Office,Okanogan Irrigation District,NA,-119.7486774,48.5370932,Okanogan,Hydraulic Earthfill,Conconully Reservoir,WA00259,Salmon Creek,1910-1911,Ungated overflow w/ baffled chute,2301,https://www.usbr.gov/projects/index.php?id=32
dam_34,Contra Loma Dam,California,Mid-Pacific,South-Central California Area Office,NA,NA,-121.8231,37.9772,Central Valey,NA,Contra Loma,CA10143,offstream storage,1966-1967,NA,217,https://www.usbr.gov/projects/index.php?id=34
dam_35,Corbett Diversion Dam,Wyoming,Great Plains,Big Horn Basin Field Office,Sidon Irrigation District,NA,-108.95428,44.58953,Shoshone,NA,NA,NA,Shoshone River,1908,NA,4625,https://www.usbr.gov/projects/index.php?id=35
dam_38,Crane Prairie Dam,Oregon,Pacific Northwest,Columbia-Cascades Area Office,Central Oregon Irrigation District,NA,-121.785,43.755,Deschutes,Zoned Earthfill,Crane Prairie,OR00279,Deschutes River,1939-1940,Ungated rock channel,4455,https://www.usbr.gov/projects/index.php?id=38
dam_39,Crawford Dam,Colorado,Upper Colorado,Western Colorado Area Office,Crawford Water Conservancy District,NA,-107.6081657409668,38.69073544820042,Smith Fork,NA,Crawford,CO00556,Iron Creek,1960-1962,NA,6578,https://www.usbr.gov/projects/index.php?id=39
dam_41,Crystal Dam,Colorado,Upper Colorado,Power Office,NA,NA,-107.33505249023438,38.453588708941375,Colorado River Storage,NA,Crystal,CO00387,Gunnison River,1972-1977,NA,6772,https://www.usbr.gov/projects/index.php?id=41
dam_277,Culbertson Diversion Dam,Nebraska,Great Plains,NA,NA,NA,-101.10267,40.36186,PSMBP-Frenchman-Cambridge,NA,NA,NA,Frenchman,1959,NA,2744,https://www.usbr.gov/projects/index.php?id=277
dam_44,Currant Creek Dam,Utah,Upper Colorado,Provo Area Office,Central Utah Water Conservancy District,NA,-111.05186462402344,40.33215123550075,CUP - Bonneville Unit,NA,Currant Creek,UT10149,Currant Creek,1974-1975,NA,7692,https://www.usbr.gov/projects/index.php?id=44
dam_70,Davis Creek Dam,Nebraska,Great Plains,Nebraska-Kansas Area Office,Twin Loups Irrigation District,NA,-98.74793,41.41568,PSMBP-North Loup,NA,Davis Creek,NE82901,Tributary to Davis Creek,1988-1990,NA,2094,https://www.usbr.gov/projects/index.php?id=70
dam_47,Davis Dam,Arizona and Nevada,Lower Colorado,Lower Colorado Dams Office,Lower Colorado Dams Office,"2 mi north of Bullhead City, AZ and Laughlin, NV",-114.5683,35.1967,Parker-Davis,Zoned earthfill,Lake Mohave,AZ10309,Colorado River,1942-1950,Concrete ogee weir,655,https://www.usbr.gov/projects/index.php?id=47
dam_11,Deadwood Dam,Idaho,Pacific Northwest,Snake River Area Office,NA,"25 mi SE of Cascade, ID",-115.6459458,44.2932322,Boise,Concrete Arch,Deadwood,ID00284,Deadwood River,1929-1931,Uncontrolled overflow section near center of the dam,5340,https://www.usbr.gov/projects/index.php?id=11
dam_75,Deaver Dam,Wyoming,Great Plains,Big Horn Basin Field Office,Deaver Irrigation District,NA,-108.63707,44.901,Shoshone,NA,Deaver,WY01379,Offstream,1918,NA,4309,https://www.usbr.gov/projects/index.php?id=75
dam_76,Deer Creek Dam,Utah,Upper Colorado,Provo Area Office,Provo River Water Users Association,NA,-111.527,40.406667,Provo River,NA,Deer Creek,UT10117,Provo River,1938 - 1941,NA,5425,https://www.usbr.gov/projects/index.php?id=76
dam_13,Deer Flat Lower Embankment,Idaho,Pacific Northwest,Snake River Area Office,Boise Project Board of Control,27 mi SW of Boise,-116.73703,43.58247,Boise,Earthfill,Lake Lowell,ID00278,Offstream Storage,1906-1908,NA,2539,https://www.usbr.gov/projects/index.php?id=13
dam_14,Deer Flat Middle Embankment,Idaho,Pacific Northwest,Snake River Area Office,Boise Project Board of Control,26 mi SW of Boise,-116.7178916,43.595746,Boise,Earthfill,Lake Lowell,ID00277,Offstream Storage,1906-1911,NA,2536,https://www.usbr.gov/projects/index.php?id=14
dam_15,Deer Flat Upper Embankment,Idaho,Pacific Northwest,Snake River Area Office,Boise Project Board of Control,23 mi SW of Boise,-116.6543,43.56007,Boise,Earthfill,Lake Lowell,ID00276,Offstream Storage,1906-1908,NA,2538.4,https://www.usbr.gov/projects/index.php?id=15
dam_100,Deerfield Dam,South Dakota,Great Plains,Dakotas Area Office,NA,NA,-103.7867,44.03,Rapid Valley,NA,Deerfield,SD01138,Castle Creek,1942-1947,NA,5958,https://www.usbr.gov/projects/index.php?id=100
dam_77,Derby Diversion Dam,Nevada,Mid-Pacific,Lahontan Basin Area Office,NA,NA,NA,NA,Newlands,NA,NA,NV10121,Truckee Rier,1905,NA,4219.16,https://www.usbr.gov/projects/index.php?id=77
dam_78,Dickinson Dam,North Dakota,Great Plains,Dakotas Area Office,NA,NA,-102.8269,46.8697,PSMBP-Dickinson,NA,NA,ND00148,Heart River,1950,NA,2436.6,https://www.usbr.gov/projects/index.php?id=78
dam_61,Dille Diversion Dam,Colorado,Great Plains,Eastern Colorado Area Office,NA,NA,-105.14096,40.4041,Colorado-Big Thompson,NA,NA,NA,Big Thompson River,1950,NA,5500,https://www.usbr.gov/projects/index.php?id=61
dam_79,Dixon Canyon Dam,Colorado,Great Plains,Eastern Colorado Area Office,Northern Colorado Water Conservancy District,NA,-105.14,40.5533,Colorado-Big Thompson,NA,Horsetooth,CO01653,Offstream Storage,1946-1949,NA,5443,https://www.usbr.gov/projects/index.php?id=79
dam_80,Dodson Diversion Dam,Montana,Great Plains,Montana Area Office,Malta Irrigation District,"On the Milk River 5 miles west of Dodson, Montana.",-108.3077,48.4121,Milk River,"Concrete capped timber-crib weir, movable crest, embankment wings",NA,MT00583,Milk River,1910,Movable overflow crest,2,https://www.usbr.gov/projects/index.php?id=80
dam_81,Dressler Diversion Dam,Nevada,Mid-Pacific,Lahontan Basin Area Office,NA,NA,NA,NA,Washoe,NA,NA,NA,NA,NA,NA,NA,https://www.usbr.gov/projects/index.php?id=81
dam_82,Dry Creek Diversion Dam,Colorado,Upper Colorado,NA,NA,NA,NA,NA,Fruitgrowers,NA,NA,NA,Dry Creek,1940,NA,5619.5,https://www.usbr.gov/projects/index.php?id=82
dam_84,Dry Falls Dam,Washington,Pacific Northwest,Columbia-Cascades Area Office,NA,NA,-119.31787,47.622595,Columbia Basin,Zoned Earthfill,Banks Lake,WA00261,Offstream Storage,1946-1949,NA,1580,https://www.usbr.gov/projects/index.php?id=84
dam_285,Dry Spotted Tail Diversion Dam,Nebraska,Great Plains,NA,NA,NA,-103.92492,41.93825,North Platte,NA,NA,NA,Dry Spotted Tail Creek,1954,NA,3996,https://www.usbr.gov/projects/index.php?id=285
dam_286,Dunlap Diversion Dam,Nebraska,Great Plains,NA,NA,NA,-102.92388,42.46225,Mirage Flats,NA,NA,NA,Niobrara,1945,NA,3873.3,https://www.usbr.gov/projects/index.php?id=286
dam_88,East Canyon Dam,Utah,Upper Colorado,Provo Area Office,NA,NA,-111.60085916519165,40.920533533014265,Weber Basin,NA,East Canyon,UT10119,East Canyon Creek,1964-1966,NA,5715,https://www.usbr.gov/projects/index.php?id=88
dam_89,East Park Dam,California,Mid-Pacific,Northern California Area Office,Orland Unit Water Users` Association,NA,-122.515,39.3567,Orland,NA,NA,CA10145,Little Stony Creek,1908-1910,NA,1198.68,https://www.usbr.gov/projects/index.php?id=89
dam_287,East Portal Diversion Dam,Colorado,Great Plains,Eastern Colorado Area Office,NA,NA,-105.57857,40.32788,Colorado-Big Thompson,NA,NA,NA,Wind River,1947,NA,8265,https://www.usbr.gov/projects/index.php?id=287
dam_103,Easton Diversion Dam,Washington,Pacific Northwest,Columbia-Cascades Area Office,Kittitas Reclamation District,NA,-121.1880397,47.24154,Yakima,Concrete Gravity,Lake Easton,WA00279,Yakima River,1928-1929,Overflow Drum Gate,2184.5,https://www.usbr.gov/projects/index.php?id=103
dam_92,Echo Dam,Utah,Upper Colorado,Provo Area Office,Weber River Water Users Association,NA,-111.4319658279419,40.96486345371011,Weber Basin,NA,Echo,UT10120,Weber Basin,1927-1931,NA,5570,https://www.usbr.gov/projects/index.php?id=92
dam_93,Eden Dam,Wyoming,Upper Colorado,Provo Area Office,Eden Valley Irrigation and Drainage District,NA,-109.3665361404419,42.218125247841755,Eden,NA,Eden  Reservoir,WY01388,OS Little Sandy Creek,"1910, rehabilitated in1959",NA,6720,https://www.usbr.gov/projects/index.php?id=93
dam_96,El Vado Dam,New Mexico,Upper Colorado,Albuquerque Area Office,NA,NA,-106.7325210571289,36.594030173904585,Middle Rio Grande,NA,El Vado,NM10008,Rio chama,1933-1935,NA,6914.5,https://www.usbr.gov/projects/index.php?id=96
dam_94,Elephant Butte Dam,New Mexico,Upper Colorado,Albuquerque Area Office,NA,NA,-107.19117879867554,33.15348719243569,Rio Grande,NA,Elephant Butte,NM00129,Rio Grande,1912-1916,NA,4414,https://www.usbr.gov/projects/index.php?id=94
dam_97,Emigrant Dam,Oregon,Pacific Northwest,Columbia-Cascades Area Office,Talent Irrigation District,NA,-122.605233,42.16206,Rogue River Basin,Zoned Earthfill,Emigrant Lake,NA,Emigrant Creek,1924,Ungated overflow,2254,https://www.usbr.gov/projects/index.php?id=97
dam_99,Enders Dam,Nebraska,Great Plains,Nebraska-Kansas Area Office,NA,1.5 mi from Enders,-101.5175,40.4208,PSMBP-Frenchman-Cambridge,NA,Enders,NE01070,Frenchman River,1947-1951,NA,3137.5,https://www.usbr.gov/projects/index.php?id=99
dam_104,Fish Lake Dam,Oregon,Pacific Northwest,Medford Irrigation District,Medford Irrigation District,"35 miles northeast of Medford, Oregon",-122.348,42.3781,Rogue River Basin,Zoned Earthfill with Rockfill,Fish Lake,OR00021,North Fork Little Butte Creek,1902-1908,NA,4649,https://www.usbr.gov/projects/index.php?id=104
dam_105,Flaming Gorge Dam,Utah,Upper Colorado,Power Office,Flaming Gorge Field Division,NA,-109.42193448543549,40.91499222778669,Colorado River Storage,NA,Flaming Gorge,UT10121,Green River,1958-1964,NA,6047,https://www.usbr.gov/projects/index.php?id=105
