br_id,name,overview,url
dam_4,Angostura Dam,"Angostura dam is a composite type, consisting of a concrete gravity structure and an earth embankment. The concrete portion of the dam comprises a gated spillway section located in the river channel and two non-overflow sections, one extending to the left abutment and one abutting the earth embankment extending to the right abutment. The dam has a crest length of 2,030 feet; the concrete section is 970 feet long and the earth embankment 1,060 feet long, with a structural height of 193 feet and a hydraulic height of 136 feet above the riverbed. The spillway is an overflow section in the concrete portion of the dam, controlled by five 50- by 30-foot radial gates. Discharge capacity is 247,000 cubic feet per second. The river outlet works consists of a 4.5-foot diameter steel conduit through the concrete dam section, controlled by one 4-foot-square high-pressure slide gate in the valve house at the downstream end. Discharge capacity is 590 cubic feet per second. The main canal outlet works for irrigation water delivery consists of a 6-foot-diameter steel conduit through the concrete dam terminating in a valve house, a stilling basin, and canal headworks at the downstream end. Releases into the 290-cubic- foot-per-second-capacity canal are controlled by two 3.5-foot-square high-pressure slide gates in the valve house.",https://www.usbr.gov/projects/index.php?id=4
dam_3,Angostura Diversion Dam,"The Middle Rio Grande Project was authorized by the Congress to improve and stabilize the economy of the Middle Rio Grande Valley by rehabilitation of the Middle Rio Grande Conservancy District facilities and by controlling sedimentation and flooding in the Rio Grande. The Bureau of Reclamation and the Corps of Engineers jointly planned the comprehensive development of the project. Reclamation undertook the rehabilitation of El Vado Dam, rehabilitation of project irrigation and drainage works, and channel maintenance. The Corps of Engineers was assigned the construction of flood control reservoirs and levees for flood protection. There are three diversion dams, all of which have been rehabilitated. Angostura Diversion Dam, serving the Albuquerque Division, consists of a concrete weir section 17 feet high and 800 feet long; Isleta Diversion Dam, serving the Belen Division, is a reinforced concrete structure 21 feet high and 674 feet long with 30 radial gates; and San Acacia Diversion Dam, serving the Socorro Division, is 17 feet high and 700 feet long with 29 radial gates. Lands in the Cochiti Division, previously served by the Cochiti Diversion Dam, now receive their supply directly from Cochiti Dam, a Corps of Engineers flood control dam. Cochiti Diversion Dam was inundated by the construction of Cochiti Dam.",https://www.usbr.gov/projects/index.php?id=3
dam_5,Anita Dam,"Anita Dam was not required in the original Huntley Project plans. Subsequent development of additional lands by local interests necessitated its construction for hold-over storage of water lifted by the turbine-driven pumps during slack periods, to reduce the extensive operating time of the pumps. This offstream storage dam was completed by the Civilian Conservation Corps (CCC) in 1937. The dam is an earth structure, 42 feet high with a volume of 143,000 cubic yards, located 1 mile southeast of the Anita Railroad Station. The combination spillway-wasteway adjoining the High Line Canal on the north abutment is a concrete-lined chute 40 feet wide with a capacity of 1,500 cubic feet per second. The dam impounds a reservoir that has a capacity of 400 acre-feet.",https://www.usbr.gov/projects/index.php?id=5
dam_269,Arbuckle Dam,"At Arbuckle Dam site on Rock Creek, the abutments are mantled with residual soil, accumulations of slope wash, colluvium and slumped material. In the foundation area across the floodplain, alluvial material ranging up to 17 feet measured thickness overlie foundation rock along the axis. Paleozoic sediments ranging in age from Ordovician to late Pennsylvanian make up the foundation rock in the abutments and foundation. The dam site is situated near the north margin of the Arbuckle uplift in the south limb of the narrow crumpled and downfaulted Mill Creek syncline.",https://www.usbr.gov/projects/index.php?id=269
dam_6,Arrowrock Dam,"Arrowrock Dam, on the Boise River 42 miles downstream of Anderson Ranch Dam and 22 miles upstream from Boise, is a concrete thick-arch structure 350 feet high. When constructed in 1915, the dam was recorded as being the tallest concrete dam in the world. The structure was repaired and raised 5 feet during 1935-1937, increasing its storage by 9,000 acre-feet; total storage capacity 272,200 acre-feet (active 271,700 acre-feet). The original construction involved the use of a rather high proportion of sand cement, and by 1935 the concrete on the downstream face of the structure showed deterioration due to climatic conditions. Repairs made included refacing the downstream face and spillway channel. After 85 years of service, the Ensign Valves had reached the end of their useful life and the lower set of 10 Ensign Valves were removed and replaced with clamshell gates between 2001 and 2004. A contract to permanently plug all five sluice gate outlet conduits was completed in January 2011. The Boise Project Board of Control completed construction of a 15 MW powerplant at Arrowrock Dam in March 2010. The powerplant penstocks tie into two of the existing 66 outlet conduits. The project also updated the transmission line to the dam. Geology The formation is a hard, sound but seamy, broad zone of granite porphyry, capped in left abutment with 50-foot basaltic lava.",https://www.usbr.gov/projects/index.php?id=6
dam_45,Arthur R Bowman Dam,"Arthur R. Bowman Dam (formerly Prineville Dam) is an earthfill structure on the Crooked River about 20 miles upstream from Prineville. The dam has a height of 240 feet, crest length of 790 feet, and a volume of 1,424,000 cubic yards of material. The spillway consists of an uncontrolled-crest inlet structure, chute, and stilling basin. Capacity of the spillway is 8,120 cubic feet per second at maximum water surface elevation of 3,257.9 ft. The outlet works has an intake structure with an 11-foot-diameter circular tunnel upstream from the gate chamber, an 11-foot modified horseshoe tunnel downstream from the gate chamber, and a stilling basin which is shared with the spillway. The capacity of the outlet works is 3,300 cubic feet per second at normal water surface elevation of 3,234.8 ft. The total capacity of Prineville Reservoir at closure was 154,690 acre-feet (active 152,800 acre-feet). A reservoir sedimentation survey completed in 1998 estimates the total capacity at 150,200 acre-feet (active 148,600 acre-feet). Geology The Crooked River drains a mountainous area composed of volcanic tuff and agglomerate beds, and basalt, rhyolite and andesite lava flows ranging in age from early Eocene to Recent. The drainage basin exhibits a wide variety of topographic forms owing to variation in the resistance of volcanic beds and the varying degree of folding in the area. Depth of overburden at the damsite is not uniform. In the areas where bedrock exposures are common, overburden ranges from several feet deep.",https://www.usbr.gov/projects/index.php?id=45
dam_48,Arthur V Watkins Dam,"Flows that cannot be controlled by the mountain reservoirs, as well as winter releases through the powerplants, are diverted from Weber river at the Slaterville Diversion dam west of Ogden and carriedeight miles north in the Willard Canal to Arthur V. Watkins Reservoir. The earth-lined canal has an initial capacity of 1,050 cubic feet per second. Aboutfive miles from the canal heading, a turnout diverts water into the Plain City Canal, a privately owned irrigation system. Twelve miles northwest of Ogden on the shore of the Great Salt Lake, Arthur V. Watkins Dam is an offstream structure with a structural height of 36 feet. The dam is about 14.5 miles long in a rough rectangle, contains about 17 million cubic yards of material, and encloses a reservoir of 215,120 acre-foot capacity. Its siphon spillway has a capacity of 2,000 cubic feet per second. The 300-cubic-foot-per-second capacity outlet works functions only as a reservoir drain. During the irrigation season, water can be pumped by Willard Pumping Plants No. 1 and No. 2 back through the Willard Canal from Arthur V. Watkins Reservoir to Slaterville Diversion Dam and on into the Layton Pumping Plant intake channel for irrigation of lands lying along the shores of Great Salt Lake.",https://www.usbr.gov/projects/index.php?id=48
dam_49,Avalon Dam,"In addition to forming a small storage and regulating reservoir, Avalon Dam serves as the diversion dam for the project by diverting water into the Main Canal. The dam is located on the Pecos River 5 miles north of Carlsbad, New Mexico. The dam is a zoned earthfill structure that was constructed by private interests in 1888. The dam washed out in 1893 and, after reconstruction, was washed out again in 1904 by the Pecos River flood. The Reclamation Service rebuilt the dam in 1907. The height of the dam was increased in 1912, and again in 1936. The dam now has a structural height of 60 feet and a volume of 202,000 cubic yards. The dam now has a structural height of 60 feet and a volume of 202,000 cubic yards. This is an earthfilled structure 1,360 feet long and 53 feet high. There are three spillways and an outlet works. The original reservoir storage capacity was 7,000 acre-feet; a 1996 resurvey showed a capacity of 4,466 acre-feet at the top of conservation pool.",https://www.usbr.gov/projects/index.php?id=49
dam_57,B F Sisk Dam,"B.F. Sisk Dam is a 380-foot-high zoned compacted earthfill embankment located on the west side of California's Central Valley 12 miles west of Los Banos, California. The dam is more than 3.5 miles long and impounds San Luis Reservoir which has a total capacity of more than 2 million acre-feet. The dam was built between 1963 and 1967 to provide supplemental irrigation water storage for the federal Central Valley Project (CVP) and municipal and industrial water for the California State Water Project (SWP). Water is lifted into the reservoir for storage by the Gianelli Pumping – Generating Plant from the California Aqueduct and from the Delta-Mendota Canal via O’Neill Forebay. B.F. Sisk Dam, also known as San Luis Dam, is owned by the Bureau of Reclamation and operated by the California Department of Water Resources (DWR). Reservoir storage space is allotted 55 percent State and 45 percent Federal.",https://www.usbr.gov/projects/index.php?id=57
dam_271,Barretts Diversion Dam,"Barretts Diversion Dam is a concrete, gated structure with embankment wings on the Beaverhead River 8 miles southwest of Dillon, Montana. The spillway capacity is 2,500 cubic feet per second, controlled by one 24- by 10-foot radial gate. The sluiceway is controlled by one 8- by 10-foot radial gate. The headworks capacity of East Bench Canal is 440 cubic feet per second, controlled by two 10- by 8-foot radial gates. The Canyon Canal headworks capacity is 200 cubic feet per second, controlled by one 10- by 8-foot radial gate. One 24-inch-diameter slide gate and one 36- by 30-inch slide gate, in series, control the discharge of water into the existing Rebich Ditch, which has a capacity of 12 cubic feet per second. A fish excluder is upstream of the canal headworks.",https://www.usbr.gov/projects/index.php?id=271
dam_51,Bartlett Dam,"From 1936-1939, Bartlett Dam was constructed by Reclamation on the Verde River, 48 miles northeast of Phoenix. This multiple-arch dam is 287 feet high, contains 182,000 cubic yards of concrete, and creates a 178,490 acre-foot capacity reservoir. Bartlett Dam was modified by Reclamation between 1994 and 1996 to address safety concerns. The modification included construction of a new, unlined auxiliary spillway about 1,500 feet south of the dam's left abutment, along with a concrete control structure and three-segment fuseplug embankment along with training dikes. In addition, the dam was raised 21.5 feet to prevent overtopping, and the walls and bridge of the existing service spillway structure were modified. Modifications were begun in March 1994 and completed in December 1996.",https://www.usbr.gov/projects/index.php?id=51
dam_54,Bartley Diversion Dam,"The Bartley Diversion Dam is located on the Republican River about 2 miles southeast of Indianola, Nebraska. The dam is a concrete weir with embankment wings and has a total length of 3,100 feet. The Bartley Canal originates at the dam and supplies water to the portion of the Red Willow Unit south of the river. The canal is 19.4 miles long and serves 6,539 acres.",https://www.usbr.gov/projects/index.php?id=54
dam_71,Belle Fourche Dam,"The Belle Fourche Dam is a dam on Owl Creek in Butte County, South Dakota, approximately eight miles east of Belle Fourche, South Dakota. Its construction created the Belle Fourche Reservoir, the Belle Fourche National Wildlife Refuge, and the Rocky Point Recreation Area. The reservoir has approximately eight thousand acres of water surface, 6,700 acres of land, and 58 miles of shoreline. It's stocked with walleye, catfish, and white bass. Average depth is twenty-five feet, but it has areas as deep as sixty feet at full capacity. Common activities at Belle Fourche Reservoir include boating, fishing, ice fishing, ice skating, camping, cooking out, and water skiing. At its 1911 completion by the Bureau of Reclamation, Belle Fourche Dam was the largest earthen dam in the world. The dam is listed on the National Register of Historic Places. In 1989 it was listed among the approximately 250 Historic Civil Engineering Landmarks.",https://www.usbr.gov/projects/index.php?id=71
dam_56,Belle Fourche Diversion Dam,"The Belle Fourche Diversion Dam is on the Belle Fourche River about 1.5 miles northeast of the city of Belle Fourche, S.D. It has a concrete ogee weir 400 feet long, a structural height of 36 feet, and a 2,100-foot-long earth embankment on the right abutment.",https://www.usbr.gov/projects/index.php?id=56
dam_272,Big Sandy Dam,"Big Sandy Dam is on Big Sandy Creek 10 miles north of Farson, Wyoming. It is a zoned earthfill dam 85 feet high, having a crest length of 2,350 feet and containing about 840,000 cubic yards of material. The uncontrolled open side-channel spillway has a capacity of 7,350 cubic feet per second. The outlet works, consisting of a concrete conduit through the base of the dam controlled by two high-pressure slide gates, has a capacity of 620 cubic feet per second. An earthfill dike with a maximum height of 18 feet, 8,300 feet long, and containing 107,000 cubic yards of material lies north of the left abutment of the dam along the eastern rim of the reservoir basin.",https://www.usbr.gov/projects/index.php?id=272
dam_7,Black Canyon Diversion Dam,"Black Canyon Diversion Dam, on the Payette River near Emmett, Idaho, is a concrete gravity type dam with an ogee overflow spillway. The dam has a structural height of 183 feet and serves to divert water to the Payette Division through Black Canyon Canal. The original capacity was 44,700 acre-feet but heavy siltation has reduced the capacity. At full pool there is now a volume of31,200 acre-feet. Water is diverted at Black Canyon Diversion Dam by gravity into the Black Canyon Main Canal on the south side of the Payette River and by two direct connected turbine-driven pumps, located in the powerhouse, to serve the Emmett Irrigation District Canal on the north side of the river. The two unit powerplant had an initial total capacity of 8,000 kilowatts. The unit’s electrical components were upgraded to 5,100 kilowatts each in 1995 to provide the capability of generating 10,200 kilowatts with further upgrade of the turbines. Present generating capacity however,is limited to about 10,000 kilowatts. The plant supplies power to the Southern Idaho Federal Power System for Bureau of Reclamation project uses and for non-project purposes. In 1998, a six-inch raise in Black Canyon Reservoir water surface was implemented by modifying the spillway drumgate and the radial gate at the Black Canyon Main Canal headworks. This was done to improve regulation of irrigation diversions from Black Canyon Reservoir to the Black Canyon Main Canal and to conserve the amount of stored water released from upstream reservoirs to meet fluctuating irrigation demands. Geology Foundation: Primarily basalt flow ranging in thickness from about 100 feet at the left abutment to founded on sedimentary units (which underlie the basalt) at the right abutment.",https://www.usbr.gov/projects/index.php?id=7
dam_62,Blue Mesa Dam,"Blue Mesa Dam is on the Gunnison river about 30 miles below Gunnison, and 1.5 miles below Sapinero, Colorado. The zoned earthfill embankment has a structural height of 390 feet, a crest length of 785 feet, and a volume of 3,080,000 cubic yards of materials. The spillway consists of a concrete intake structure with two 25- by 33.5-foot radial gates, concrete-lined tunnel, concrete flip bucket structure, and stilling basin. Maximum discharge of the spillway is 34,000 cubic feet per second. The outlet works consists of an intake structure, tunnel, and manifold anchor block. The outlet works is controlled by one 16- by 18-foot fixed-wheel gate in the intake structure and by two 84-inch ring-follower gates and two 84-inch hollow-jet valves in a gate house at the terminus of the outlet conduits. Maximum discharge from the outlet works is 5,000 cubic feet per second at maximum water surface elevation, with two 84-inch hollow-jet valves 62 percent open. Blue Mesa Reservoir has a total capacity of 940,700 acre-feet and an active capacity of 748,430 acre-feet. At maximum water surface elevation, the reservoir occupies 9,180 acres. The Blue Mesa Powerplant consists of two 30,000-kilowatt generators, driven by two 41.55-horsepower turbines. Each Turbine is designed to operate at a maximum head of about 360 feet. One 16-foot-diameter penstock conveys water to the two turbines and also carries water for the outlet works. After branching from the main penstock, each of the penstock laterals is controlled by 156-inch butterfly valves. The main penstock is reduced by a wye branch to the outlet works control valves. Geology The area has undergone a rather complex geologic development. The stmtigraphic column consists of basement, pre-Cambrian granite, gneiss, and schist, overlain uncomfortably by the Jurassic, Entrada sandstone, and shale, In turn progressively overlain by the Morrison Mancos clay shales. Structurally, the sedimentary strata, underlying the volcanics and overlaying the granites, dip to the north, with the horizontal overlaying volcanics covering their erosional truncated edges. The contact between the granite and sedimentary rocks becomes progressively lower in elevation to the north of the river. On the south side of the river, it rises to the ground surface. A large normal fault parallels the canyon on the southwest side, cutting close to the river at Cimarron, below Blue Mesa Dam.",https://www.usbr.gov/projects/index.php?id=62
dam_64,Boca Dam,"Boca Dam is owned by Reclamation and operated and maintained by the Washoe County Water Conservation District. The dam sits on the Little Truckee River and creates Boca Reservoir, which has a capacity of approximately 40,000 acre-feet. Boca Dam was completed in 1939 and has a height of 116 feet and a crest length of 1,630 feet. It provides flood protection for Reno and Sparks, Nevada. The reservoir is used to regulate the Truckee River and provide water for irrigation, recreation, fish and wildlife benefits, power generation, and drought supplies for municipal and industrial users in the Truckee Meadows area.",https://www.usbr.gov/projects/index.php?id=64
dam_8,Boise River Diversion Dam,"The Boise River Diversion Dam, on the Boise River about 7 miles southeast of Boise, Idaho, is a rubble-concrete, weir-type structure with a hydraulic height of 39 feet. The dam diverts water into the New York Canal which serves distribution laterals and feeds Lake Lowell. A small canal known as the Penitentiary Canal, also originating at the diversion dam, distributes water on the north side of the Boise River to a small area of land east of Boise. The powerplant consists of three 500-kilowatt units that began operation in 1912. However, in 1983, the powerplant was placed in a ""ready reserve"" status due to the age of the generators and excessive maintenance costs. Due to the deteriorated condition of the equipment and high operating costs resulting from full-attended operation, the powerplant was placed in ready reserve status in 1982. The plant was reconstructed in 2002 to 2004 and returned to service in June, 2004. The nameplate rating for the plant was increased from the original 1500 kW to 3300 kW. The existing double turbine configuration was retained, but refurbished with new materials and technology. New modern generators were installed inside the originalgenerator housings.",https://www.usbr.gov/projects/index.php?id=8
dam_66,Bonny Dam,"Geologic features at Bonny Damsite consist of the following;1) Valley fill alluvium to depth of 15-20 feet, stream deposited material consisting mainly of silt, sand and gravel.2) Valley sides of soft Ogallala sandstone encountered beneath the alluvium is a fairly impervious material, lightly cemented and fine sand in grade size. 3) A loess mantle over the high land, which varies from silt to silty fine sand.4) Fine sand located at the right portion of the dam which overlies sand and silt of the valley fill and is in turn overlain by alluvial sand and silt.5) Pierre shale bedrock underlies the entire region and is usually found at depths from 55 to 60 feet beneath the valley floor.6) Talus forming a narrow strip on each side of the valley.",https://www.usbr.gov/projects/index.php?id=66
dam_67,Box Butte Dam,"Box Butte Dam and Reservoir lies entirely within the Miocene Age Monroe Creek Formation (Tmc). The Monroe Creek is underlain by the Gering, Brule, Chadron and Pierre Formations, which range from Miocene to Upper Cretaceous in age. Windblown silt and fine sand mantle the surface in the reservoir area. The Niobrara River incised a broad channel approximately 1,400 feet wide along the bottom of the valley. The channel was located near the left side of the valley at the time of construction. The left abutment and spillway are founded on weathered siltstone bedrock and alluvial deposits. The dam foundation to the right of station 19+30 is founded on surficial eolian and alluvial materials. The bedrock at the site is described as a tan to light brown, sandy siltstone containing numerous limy concretions, volcanic ash and bone fossils. Lenses of sandstone and conglomerate also occur. The beds are primarily cemented with calcium carbonate varying from weakly to non-cemented. Weathering of the siltstone decomposes to a soil-like sandy silt (ML) material. Bedding is nearly horizontal and usually massive. The Niobrara River Fault was mapped along the length of the river valley at the site of Box Butte Dam. The fault zone forms a graben along which the river traverses. The Nebraska Geological Survey indicated the last movement along the Niobrara River Fault occurred approximately 16 million years ago. Drilling for the CAS in 1988 along the left abutment and spillway encountered soil materials ranging from 1.1 to 15.0 ft. in thickness. The soil appears to be derived from the underlying siltstone of the Monroe Creek Formation. Dry density samples were tested and ranged from 63.48 to 103.45 pcf, averaging 84.95 pcf. The bedrock underlying the eolian deposits was described as uncemented to weakly cemented, soft siltstone. Thin discontinuous lenses of weakly to moderately cemented sandstone and fine conglomerate with light colored volcanic ash and a few scattered limy concretions were also encountered. The cutoff trench encountered siltstone and sandstone at approximate elevation 3942 between the service spillway and station 19+50. The remainder of the embankment material lies on alluvial material composed of silty sand with gravel up to 40 feet in thickness. The eolian and alluvial materials are considered to be liquefiable under seismic loading.",https://www.usbr.gov/projects/index.php?id=67
dam_26,Boysen Dam,"Boysen Dam is a zoned earthfill structure having a structural height of 220 feet. An overflow, weir-type spillway controlled by radial gates is located on the right abutment and surcharges immediately upstream and left of the power plant. Design discharge through the spillway is 25,000 cubic feet per second at elevation 4725.00 The Boysen Reservoir has a total controlled storage capacity of 802,000 acre-feet at water surface elevation 4725.00. The outlet works is on the right abutment of the dam. Discharge is through a 66-inch-diameter steel pipe located above the power penstock and a 57-inch-diameter steel pipe joined to the 10-foot-diameter power penstock serving Unit 1 in the powerhouse. The power plant has an installed capacity of 15,000 kilowatts developed by two units operating under an average head of 99 feet. Each unit is served by a 10-foot-diameter steel penstock joined to a common 15-foot-diameter steel penstock immediately upstream from the power plant. The 15-foot-diameter penstock leading from the intake structure to the units was located to utilize the bore of an existing railroad tunnel made available through relocation of the CB&Q railroad. Other features of the construction activity were the relocation of 13.5 miles of the railroad track, which required a tunnel 1.25 miles long, seven bridges, two sidings, and other construction features. Folded and faulted shales and sandstones lying over pre-Cambrian diorites, with up to 70 feet of alluvium in the riverbed.",https://www.usbr.gov/projects/index.php?id=26
dam_254,Bradbury Dam,"Bradbury Dam was originally named the Cachuma Dam. The name was changed in 1971 to honor local water proponent Brad Bradbury. It is located on the Santa Ynez River approximately 25 miles northwest of Santa Barbara. It is a zoned earthfill structure, containing 6,695,000 cubic yards of material. It is 279 feet high from the bottom of the cutoff trench to the top of the dam and. 206 feet above the streambed. The spillway section is concrete-lined, with four 50x30 foot radial gates, and has a capacity of 161,000 cubic feet per second. Lake Cachuma, has a capacity of 205,000 acre-feet. The lake covers 3250 acres when full and has a 42-mile shoreline.",https://www.usbr.gov/projects/index.php?id=254
dam_28,Brantley Dam,"Brantley Dam is on the Pecos River at mile 478.5, about 13 miles upstream from the city of Carlsbad, New Mexico. It is about 10 miles upstream from the Avalon Dam in the Carlsbad Project and 25 miles downstream from Artesia. The Brantley Project area extends about 16.5 miles above the damsite. The Pecos River watershed is in a semi-arid region. Average annual precipitation in the Pecos River Basin varies from about 10 inches near Pecos, Texas, to greater than 33 inches in th The project's main purpose is to replace McMillan Dam, which was declared unsafe. Additional benefits include irrigation, flood control, fish and wildlife enhancement, and recreation.",https://www.usbr.gov/projects/index.php?id=28
dam_273,Bretch Diversion Dam,"Bretch Diversion Dam is located on Elk Creek in Kiowa County about 24 miles northeast of Altus, Oklahoma, and about 15 miles northwest of Mountain Park Dam. The dam diverts flows from Elk Creek into Bretch Canal for conveyance into Tom Steed Reservoir by way of Noname Creek and West Otter Creek. This concrete diversion structure has canal headworks and a concrete wing wall on the left abutment, stream control gates in the center section, and a rolled earthfill dike extending from the concrete structure across the flood plain 5,200 feet to the right abutment. The canal headworks include trashracks at the five-bay intake, and an 18-foot-square radial gate for controlling flows into Bretch Canal, which is designed for a flow of 1,000 cubic feet per second. The stream control gates include two 27- by 21-foot spillway radial gates, one 10- by 21-foot sluiceway radial gate, and one 24-inch-diameter bypass gate. The rolled earthfill dike across the flood plain to the right abutment contains a low grass-covered section which provides an overflow spillway with a crest length of 3,620 feet.",https://www.usbr.gov/projects/index.php?id=273
