br_id,name,history,plan,url
plant_539,Crystal Powerplant,"Transformer KRA was replaced in fiscal year 1996. Outlet tube No.2 was repaired in 2001. Governor and the station service transformer were replaced in 2002 and 2003 respectively. Generator was shut down during the winter of 2002-2003 due to lack of water. Unit was uprated to 31,500 kilowatts in 2004. The Colorado River Storage Project provides for the comprehensive development of the Upper Colorado River Basin. The project furnishes the long-term regulatory storage needed to permit States in the upper basin to meet their flow obligation at Lees Ferry, Arizona, as defined in the Colorado River Compact and still use their apportioned water. Congress authorized construction of four storage units of the Colorado River Storage Project and 11 participating projects on April 11, 1956, under Public Law 485, 84th Congress, 70 Stat. 105. Additional projects have been added since the original legislation was adopted.","Transformer KRA was replaced in fiscal year 1996. Outlet tube No.2 was repaired in 2001. Governor and the station service transformer were replaced in 2002 and 2003 respectively. Generator was shut down during the winter of 2002-2003 due to lack of water. Unit was uprated to 31,500 kilowatts in 2004. The Colorado River Storage Project provides for the comprehensive development of the Upper Colorado River Basin. The project furnishes the long-term regulatory storage needed to permit States in the upper basin to meet their flow obligation at Lees Ferry, Arizona, as defined in the Colorado River Compact and still use their apportioned water. Congress authorized construction of four storage units of the Colorado River Storage Project and 11 participating projects on April 11, 1956, under Public Law 485, 84th Congress, 70 Stat. 105. Additional projects have been added since the original legislation was adopted.",https://www.usbr.gov/projects/index.php?id=539
plant_541,Davis Powerplant,"This was originally authorized as the Bullshead Project by the Interior Department`s Appropriation Act of 1942. The name was changed to Davis Dam in honor of Reclamation`s first director, Arthur Powell Davis. The Parker-Davis Project was formed by consolidating the Parker Dam Power Project and the Davis Dam Project under the terms of the Act of May 28, 1954 (68 Stat. 143). The Secretary of the Interior authorized the Davis Dam on April 26, 1941, under provisions of the Reclamation Project Act of 1939 (53 Stat. 1187). The Colorado River Storage Project provides for the comprehensive development of the Upper Colorado River Basin. The project furnishes the long-term regulatory storage needed to permit States in the upper basin to meet their flow obligation at Lees Ferry, Arizona, as defined in the Colorado River Compact and still use their apportioned water.","This was originally authorized as the Bullshead Project by the Interior Department`s Appropriation Act of 1942. The name was changed to Davis Dam in honor of Reclamation`s first director, Arthur Powell Davis. The Parker-Davis Project was formed by consolidating the Parker Dam Power Project and the Davis Dam Project under the terms of the Act of May 28, 1954 (68 Stat. 143). The Secretary of the Interior authorized the Davis Dam on April 26, 1941, under provisions of the Reclamation Project Act of 1939 (53 Stat. 1187). The Colorado River Storage Project provides for the comprehensive development of the Upper Colorado River Basin. The project furnishes the long-term regulatory storage needed to permit States in the upper basin to meet their flow obligation at Lees Ferry, Arizona, as defined in the Colorado River Compact and still use their apportioned water.",https://www.usbr.gov/projects/index.php?id=541
plant_542,Deer Creek Powerplant *,"The project is essentially an irrigation project with production of power limited to the capacity of the plant during the irrigation season. Maintenance is normally performed during the winter season when water flows are low. Since 1958, the powerplant has been operated and maintained by a contract with the Provo River Water Users Association. Construction of the project was initiated under the provisions of the National Industrial Recovery Act of June 16, 1933. The President approved the Provo River Project on November 16, 1935, under the terms of subsection B of section 4 of the Act of December 5, 1942 (43 Stat. 701). The President approved the Salt Lake Aqueduct on October 24, 1938. The Secretary of the Interior authorized the Deer Creek Powerplant on August 20, 1951, under the Reclamation Project Act of 1939. The Provo River Project provides a supplemental water supply for irrigation of 48,156 acres of highly developed farmlands in Utah, Salt Lake, and Wasatch Counties. The key structure of the project, Deer Creek Dam, is located on the Provo River east of the project lands.","The project is essentially an irrigation project with production of power limited to the capacity of the plant during the irrigation season. Maintenance is normally performed during the winter season when water flows are low. Since 1958, the powerplant has been operated and maintained by a contract with the Provo River Water Users Association. Construction of the project was initiated under the provisions of the National Industrial Recovery Act of June 16, 1933. The President approved the Provo River Project on November 16, 1935, under the terms of subsection B of section 4 of the Act of December 5, 1942 (43 Stat. 701). The President approved the Salt Lake Aqueduct on October 24, 1938. The Secretary of the Interior authorized the Deer Creek Powerplant on August 20, 1951, under the Reclamation Project Act of 1939. The Provo River Project provides a supplemental water supply for irrigation of 48,156 acres of highly developed farmlands in Utah, Salt Lake, and Wasatch Counties. The key structure of the project, Deer Creek Dam, is located on the Provo River east of the project lands.",https://www.usbr.gov/projects/index.php?id=542
plant_543,Elephant Butte Powerplant,"A system consisting of 490 miles of 115-kilovolt transmission line and 11 substations totaling 81,750 kilovolt-amperes was developed and operated by the Rio Grande Project until 1977. It was subsequently sold to a private electric company. he Secretary of the Interior authorized the Rio Grande Project on December 2, 1905, under the provision of the Reclamation Act, and funds were allocated to initiate construction of the first diversion unit. The Reclamation Act was extended to the entire State of Texas on June 12, 1906, following a partial extension for Engle (Elephant Butte) Dam in 1905. Congress authorized the construction of Elephant Butte Dam on February 25, 1905, and on May 4, 1907, $1 million of nonreimbursable funds were appropriated as the State Department`s share for allocation of 60,000 acre-feet of water annually to Mexico by treaty. Additional project works authorized under congressional action include Caballo Dam, a combined flood control and power regulating structure and the Elephant Butte power development. The Rio Grande Project furnishes a full irrigation water supply for about 178,000 acres of land and electric power for communities and industries in the area. Drainage water from project lands provides a supplemental supply for 18,000 acres in Hudspeth County, Texas. Project lands occupy the river bottom land of the Rio Grande Valley in south-central New Mexico and west Texas.","A system consisting of 490 miles of 115-kilovolt transmission line and 11 substations totaling 81,750 kilovolt-amperes was developed and operated by the Rio Grande Project until 1977. It was subsequently sold to a private electric company. he Secretary of the Interior authorized the Rio Grande Project on December 2, 1905, under the provision of the Reclamation Act, and funds were allocated to initiate construction of the first diversion unit. The Reclamation Act was extended to the entire State of Texas on June 12, 1906, following a partial extension for Engle (Elephant Butte) Dam in 1905. Congress authorized the construction of Elephant Butte Dam on February 25, 1905, and on May 4, 1907, $1 million of nonreimbursable funds were appropriated as the State Department`s share for allocation of 60,000 acre-feet of water annually to Mexico by treaty. Additional project works authorized under congressional action include Caballo Dam, a combined flood control and power regulating structure and the Elephant Butte power development. The Rio Grande Project furnishes a full irrigation water supply for about 178,000 acres of land and electric power for communities and industries in the area. Drainage water from project lands provides a supplemental supply for 18,000 acres in Hudspeth County, Texas. Project lands occupy the river bottom land of the Rio Grande Valley in south-central New Mexico and west Texas.",https://www.usbr.gov/projects/index.php?id=543
plant_544,Estes Powerplant,"The water and power control center for Colorado-Big Thompson Project's reservoirs, power plants, and transmission lines in Wyoming, Colorado, and western Nebraska is at the project headquarters in Loveland, Colorado. This Western Division of the Missouri River Basin is an interconnected system of 15 Reclamation power plants. The President approved the Secretary of the Interior's finding of feasibility on December 21, 1937. The Colorado-Big Thompson Project is one of the largest and most complex natural resource developments undertaken by Reclamation. It consists of over 100 structures integrated into a transmountain water diversion system through which multiple benefits are provided to the people. The project spreads over approximately 250 miles in Colorado. It stores, regulates, and diverts water from the Colorado River on the western slope of the Continental Divide to the eastern slope of the Rocky Mountains. It provides supplemental water for irrigation of about 720,000 acres of land, municipal and industrial use, hydroelectric power, and water-oriented recreation opportunities.","The water and power control center for Colorado-Big Thompson Project's reservoirs, power plants, and transmission lines in Wyoming, Colorado, and western Nebraska is at the project headquarters in Loveland, Colorado. This Western Division of the Missouri River Basin is an interconnected system of 15 Reclamation power plants. The President approved the Secretary of the Interior's finding of feasibility on December 21, 1937. The Colorado-Big Thompson Project is one of the largest and most complex natural resource developments undertaken by Reclamation. It consists of over 100 structures integrated into a transmountain water diversion system through which multiple benefits are provided to the people. The project spreads over approximately 250 miles in Colorado. It stores, regulates, and diverts water from the Colorado River on the western slope of the Continental Divide to the eastern slope of the Rocky Mountains. It provides supplemental water for irrigation of about 720,000 acres of land, municipal and industrial use, hydroelectric power, and water-oriented recreation opportunities.",https://www.usbr.gov/projects/index.php?id=544
plant_545,Flaming Gorge Powerplant,"Construction was authorized on April 11, 1956, and construction began in 1958 with road building, a diversion tunnel, and other preparatory work. The first unit went on the line September 27, 1963, and the third and final unit in February 1964. The Flaming Gorge Reservoir first filled in August 1974 at elevation 6,040 with 3,749,000 acre feet of live storage. The plant was automated in 1973 and 1974 and was then controlled by the Colorado River Storage Project Dispatch Center located in Montrose, Colorado. Selective withdrawal structures were installed on the turbine penstock intakes during the winters of 1977 and 1978 to provide temperature control of the water released down the Green River to improve fishery habitat. A temperature of 55 degrees Fahrenheit can be maintained from mid-June into October. On August 11, 1977, the Unit 2 turbine seized up when the lower seal ring failed. This incident lead to the replacement of seal rings on all three units. The newly designed and installed seal rings also failed and were again replaced on each unit. Generator uprates began in August 1990 and were completed in April 1992. The generators were uprated from 36,000 kW to 50,650 kW. Three unit transformers were replaced in 2002 and 2003. The Congress authorized construction of four storage units in the Colorado River Storage Project and 11 participating projects on April 11, 1956 under Public Law 485, 84th Congress, 70 Stat. 105. Additional projects have been added since the original legislation was adopted. The Colorado River Storage Project provides for the comprehensive development of the Upper Colorado River Basin. The project furnishes the long-time regulatory storage needed to permit States in the upper basin to meet their flow obligation at Lees Ferry, Arizona, (as defined in the Colorado River Compact) and still use their apportioned water.","Construction was authorized on April 11, 1956, and construction began in 1958 with road building, a diversion tunnel, and other preparatory work. The first unit went on the line September 27, 1963, and the third and final unit in February 1964. The Flaming Gorge Reservoir first filled in August 1974 at elevation 6,040 with 3,749,000 acre feet of live storage. The plant was automated in 1973 and 1974 and was then controlled by the Colorado River Storage Project Dispatch Center located in Montrose, Colorado. Selective withdrawal structures were installed on the turbine penstock intakes during the winters of 1977 and 1978 to provide temperature control of the water released down the Green River to improve fishery habitat. A temperature of 55 degrees Fahrenheit can be maintained from mid-June into October. On August 11, 1977, the Unit 2 turbine seized up when the lower seal ring failed. This incident lead to the replacement of seal rings on all three units. The newly designed and installed seal rings also failed and were again replaced on each unit. Generator uprates began in August 1990 and were completed in April 1992. The generators were uprated from 36,000 kW to 50,650 kW. Three unit transformers were replaced in 2002 and 2003. The Congress authorized construction of four storage units in the Colorado River Storage Project and 11 participating projects on April 11, 1956 under Public Law 485, 84th Congress, 70 Stat. 105. Additional projects have been added since the original legislation was adopted. The Colorado River Storage Project provides for the comprehensive development of the Upper Colorado River Basin. The project furnishes the long-time regulatory storage needed to permit States in the upper basin to meet their flow obligation at Lees Ferry, Arizona, (as defined in the Colorado River Compact) and still use their apportioned water.",https://www.usbr.gov/projects/index.php?id=545
plant_546,Flatiron Powerplant,"The water and power control center for Colorado-Big Thompson Project's reservoirs, power plants, and transmission lines in Wyoming, Colorado, and western Nebraska is at the Western Area Power Administration facility in Loveland, Colorado. This Western Division of the Missouri River Basin is an interconnected system of 15 Reclamation power plants. The President approved the Secretary of the Interior's finding of feasibility on December 21, 1937. The Colorado-Big Thompson Project is one of the largest and most complex natural resource developments undertaken by Reclamation. It consists of over 100 structures integrated into a transmountain water diversion system through which multiple benefits are provided to the people. The project spreads over approximately 250 miles in Colorado. It stores, regulates, and diverts water from the Colorado River on the western slope of the Continental Divide to the eastern slope of the Rocky Mountains. It provides supplemental water for irrigation of about 720,000 acres of land, municipal and industrial use, hydroelectric power, and water-oriented recreation opportunities.","The water and power control center for Colorado-Big Thompson Project's reservoirs, power plants, and transmission lines in Wyoming, Colorado, and western Nebraska is at the Western Area Power Administration facility in Loveland, Colorado. This Western Division of the Missouri River Basin is an interconnected system of 15 Reclamation power plants. The President approved the Secretary of the Interior's finding of feasibility on December 21, 1937. The Colorado-Big Thompson Project is one of the largest and most complex natural resource developments undertaken by Reclamation. It consists of over 100 structures integrated into a transmountain water diversion system through which multiple benefits are provided to the people. The project spreads over approximately 250 miles in Colorado. It stores, regulates, and diverts water from the Colorado River on the western slope of the Continental Divide to the eastern slope of the Rocky Mountains. It provides supplemental water for irrigation of about 720,000 acres of land, municipal and industrial use, hydroelectric power, and water-oriented recreation opportunities.",https://www.usbr.gov/projects/index.php?id=546
plant_547,Folsom Powerplant,"Completed in 1956 by the U.S. Army Corps of Engineers, flood damage reduction is the authorized purpose for Folsom Dam and Reservoir. Sacramento and surrounding areas reside in a flood plain that relies on a state-federal flood control system designed to keep floodwaters away from people and property. The project is operated by the Department of the Interior's Bureau of Reclamation as part of the Central Valley Project, serving water supply demands in the state of California. Additionally, Folsom Dam and Reservoir produces hydroelectricity, helps to maintain water quality in the Bay Delta, provides recreation and water for local municipal agencies.","Completed in 1956 by the U.S. Army Corps of Engineers, flood damage reduction is the authorized purpose for Folsom Dam and Reservoir. Sacramento and surrounding areas reside in a flood plain that relies on a state-federal flood control system designed to keep floodwaters away from people and property. The project is operated by the Department of the Interior's Bureau of Reclamation as part of the Central Valley Project, serving water supply demands in the state of California. Additionally, Folsom Dam and Reservoir produces hydroelectricity, helps to maintain water quality in the Bay Delta, provides recreation and water for local municipal agencies.",https://www.usbr.gov/projects/index.php?id=547
plant_549,Fontenelle Powerplant,"During 1986-1989, the powerplant was shutdown when the reservoir was being drained to install a diaphragm cutoff wall for the length of the dam. In June 1989, the unit began generating again at new low-head capabilities. This was in part due to the addition of additional rip-rap being placed on the upstream face of the dam. Seedskadee Project is one of the initial group of participating projects authorized with the Colorado River Storage Project on April 11, 1956 (70 Stat. 105). The Seedskadee Project, a participating project of the Colorado River Storage Project, is in the Upper Green River Basin in southwestern Wyoming. It provides storage and regulation of the flows of the Green River for power generation, municipal and industrial use, fish and wildlife, and recreation.","During 1986-1989, the powerplant was shutdown when the reservoir was being drained to install a diaphragm cutoff wall for the length of the dam. In June 1989, the unit began generating again at new low-head capabilities. This was in part due to the addition of additional rip-rap being placed on the upstream face of the dam. Seedskadee Project is one of the initial group of participating projects authorized with the Colorado River Storage Project on April 11, 1956 (70 Stat. 105). The Seedskadee Project, a participating project of the Colorado River Storage Project, is in the Upper Green River Basin in southwestern Wyoming. It provides storage and regulation of the flows of the Green River for power generation, municipal and industrial use, fish and wildlife, and recreation.",https://www.usbr.gov/projects/index.php?id=549
plant_550,Fremont Canyon Powerplant,"Construction of Fremont Canyon Power Plant and power conduit began in 1956 and was completed in 1961. The plant had an original installed capacity of 48,000 kilowatts, and was uprated between 1986 and 1990, through the installation of new generator windings and turbines, to its current installed rating of 66,800 kilowatts. The Glendo Unit of the Pick-Sloan Missouri Basin Program was authorized by the Flood Control Act of December 22, 1944, Public Law 534, which approved the general plan set forth in Senate Document 191, as revised and coordinated by Senate Document 247, 78th Congress, 2d Session. The project was reauthorized by Public Law 503, 83d Congress, on July 16, 1954. The Glendo Unit is a multi-purpose project. The unit furnishes a maximum of 40,000 acre-feet of water annually from Glendo Reservoir for irrigation in Wyoming and Nebraska. Glendo and Fremont Canyon Power plants supply electrical power to Wyoming, Colorado, and Nebraska. The unit provides irrigation, power generation, flood control, fish and wildlife enhancement, recreation, sediment retention, and pollution abatement. It also improves the quality of municipal and industrial water supply in the North Platte River Valley between Gray Reef Dam and Glendo Reservoir.","Construction of Fremont Canyon Power Plant and power conduit began in 1956 and was completed in 1961. The plant had an original installed capacity of 48,000 kilowatts, and was uprated between 1986 and 1990, through the installation of new generator windings and turbines, to its current installed rating of 66,800 kilowatts. The Glendo Unit of the Pick-Sloan Missouri Basin Program was authorized by the Flood Control Act of December 22, 1944, Public Law 534, which approved the general plan set forth in Senate Document 191, as revised and coordinated by Senate Document 247, 78th Congress, 2d Session. The project was reauthorized by Public Law 503, 83d Congress, on July 16, 1954. The Glendo Unit is a multi-purpose project. The unit furnishes a maximum of 40,000 acre-feet of water annually from Glendo Reservoir for irrigation in Wyoming and Nebraska. Glendo and Fremont Canyon Power plants supply electrical power to Wyoming, Colorado, and Nebraska. The unit provides irrigation, power generation, flood control, fish and wildlife enhancement, recreation, sediment retention, and pollution abatement. It also improves the quality of municipal and industrial water supply in the North Platte River Valley between Gray Reef Dam and Glendo Reservoir.",https://www.usbr.gov/projects/index.php?id=550
