br_id,name,state,region,owner,age,capacity,plant_factor,nerc_region,pma_service_area,plant_type,powerhouse_type,turbine_type,production_mode,remotely_operated,river,longitude,latitude
plant_571,O`Neill Powerplant *,California,Mid-Pacific,NA,40,25200,2.7 percent,"Western Electricity Coordinating Council, California-Southern Nevada Power Area","Western Area Power Administration, Sierra Nevada Region",Conventional,Above Ground,VIP Pitch,Peaking,Yes,San Luis Creek,NA,NA
plant_572,Palisades Powerplant,Idaho,Pacific Northwest,NA,50,176564,32.9  percent,"Western Electricity Coordinating Council, Northwest Power Pool Area",Bonneville Power Administration,Conventional,Above Ground,Francis,Intermediate,Yes,South Fork Snake River,NA,NA
plant_573,Parker Powerplant,Arizona and California,Lower Colorado,NA,64,120000,43.3 percent,Western Electricity Coordinating Council,"Western Area Power Administration, Desert Southwest Region",Conventional,Above Ground,Francis,Intermediate,Yes,Colorado River,NA,NA
plant_574,Pilot Butte Powerplant,Wyoming,Great Plains,Big Horn Basin Field Office,88,1600,22.9 percent,"Western Electricity Coordinating Council, Rocky Mountain Power Area","Western Area Power Administration, Rocky Mountain Region",Conventional,Above Ground,Francis,Base Load,Yes,Wind River,NA,NA
plant_575,Pole Hill Powerplant,Colorado,Great Plains,NA,59,38200,55 percent,"Western Electricity Coordinating Council, Rocky Mountain Power Area","Western Area Power Administration, Rocky Mountain Region",Conventional,Above Ground,Francis,Base Load,Yes,Colorado River and Big Thompson River,NA,NA
plant_576,Roza Powerplant,Washington,Pacific Northwest,NA,54,12937,77.7 percent,"Western Electricity Coordinating Council, Northwest Power Pool Area",Bonneville Power Administration,Conventional,Above Ground,Francis,Intermediate,No,Roza Main River,NA,NA
plant_577,San Luis (William R. Gianelli) Powerplant *,California,Mid-Pacific,NA,39,424000,7.1 percent,"Western Electricity Coordinating Council, California-Southern Nevada Power Area","Western Area Power Administration, Sierra Nevada Region",Conventional,Above Ground,Francis,Seasonal Base,No,San Luis Creek,NA,NA
plant_551,Seminoe Powerplant,Wyoming,Great Plains,Wyoming Area Office,74,51750,21.3 percent,"Western Electricity Coordinating Council, Rocky Mountain Power Area","Western Area Power Administration, Rocky Mountain Region",Conventional,Above Ground,Francis,Intermediate,Yes,North Platte River,NA,NA
plant_552,Shasta Powerplant,California,Mid-Pacific,Northern California Area Office,63,663000,33.1 percent,"Western Electricity Coordinating Council, California-So. Nevada Power Area","Western Area Power Administration, Sierra Nevada Region",Conventional,Above Ground,Francis,Peaking,Yes,Sacramento River,NA,NA
plant_553,Shoshone Powerplant,Wyoming,Great Plains,Wyoming Area Office,21,3000,77.3 percent,"Western Electricity Coordinating Council, Rocky Mountain Power Area","Western Area Power Administration, Rocky Mountain Region",Conventional,Above Ground,Francis,Intermediate,Yes,Shoshone River,NA,NA
plant_554,Spirit Mountain Powerplant,Wyoming,Great Plains,Wyoming Area Office,19,4500,41.6percent,"Western Electricity Coordinating Council, Rocky Mountain Power Area","Western Area Power Administration, Rocky Mountain Region",Conventional,Above Ground,Francis,"Base Load, Seasonal",Yes,Shoshone River,NA,NA
plant_556,Spring Creek Powerplant,California,Mid-Pacific,NA,43,180000,17.5 percent,"Western Electricity Coordinating Council, California-So. Nevada Power Area","Western Area Power Administration, Sierra Nevada Region",Conventional,Above Ground,Francis,Peaking,Yes,Spring Creek River,NA,NA
plant_559,Stampede Powerplant,California,Mid-Pacific,Lahontan Basin Area Office,20,3650,35.7 percent,"Western Electricity Coordinating Council, California-So. Nevada Power Area","Western Area Power Administration, Sierra Nevada Region",Conventional,Above Ground,Francis,Intermediate,No,Little Truckee River,NA,NA
plant_560,Towaoc Powerplant *,Colorado,Upper Colorado,NA,14,11495,3.6 percent,"Western Electricity Coordinating Council, Rocky Mountain Power Area","Western Area Power Administration, Colorado River Storage Project Management Center",Conventional,Above Ground,Pelton,Base,Yes,Towaoc Canal,NA,NA
plant_562,Trinity Powerplant,California,Mid-Pacific,Northern California Area Office,43,140000,29.4 percent,"Western Electricity Coordinating Council, California-So. Nevada Power Area","Western Area Power Administration, Sierra Nevada Region",Conventional,Above Grounc,Francis,Peaking,Yes,Trinity River,NA,NA
plant_564,Upper Molina Powerplant,Colorado,Upper Colorado,NA,45,8640,37 percent (annual),"Western Electricity Coordinating Council, Rocky Mountain Power Area","Western Area Power Administration, Colorado River Storage Project Management Center",Conventional,Above Ground,Pelton Impulse,Intermediate,Yes,Cottonwood Creek,NA,NA
plant_566,Yellowtail Powerplant,Montana,Great Plains,NA,47,250000,16.7 percent,"Western Electricity Coordinating Council, Rocky Mountain Power Area and Mid-Continent Area Power Pool","Western Area Power Administration, Rocky Mountain Region and Upper Great Plains Region",Conventional,Above Ground,Francis,Peaking,Yes,Bighorn River,NA,NA
